CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INST;FECHA_SUSP;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERA;AREA_HIDRO;ZONA_HIDRO;SUBZONA_HI;CORRIENTE;altitudDEM;NOMZH;ID_REG;N°_ESTACI;LimSup
48017010;LETICIA [48017010];Limnigráfica;Convencional;Activa;15/05/1986 0:00:00;14/08/1872 0:00:00;120;-4.222527778000000;-69.942722219999993;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);Amazonas;77;Vaupes;26;18;287.500000000000000
48017030;NAZARETH [48017030];Limnimétrica;Convencional;Activa;15/11/1987 0:00:00;14/08/1872 0:00:00;119;-4.120194444000000;-70.036083329999997;Amazonas;Leticia;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;Directos Río Amazonas (mi);Amazonas;71;Vaupes;26;18;287.500000000000000
47107030;SANTA LUCIA [47107030];Limnimétrica;Convencional;Activa;15/08/1994 0:00:00;14/08/1872 0:00:00;72;-2.864805556000000;-69.831694440000007;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Cotuhe;Cotuhe;67;Vaupes;26;18;287.500000000000000
47100020;SANTA LUCIA [47100020];Pluviométrica;Convencional;Activa;15/08/1994 0:00:00;14/08/1872 0:00:00;72;-2.864805556000000;-69.831694443999993;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Cotuhe;Cotuhe;67;Vaupes;26;18;287.500000000000000
47107010;TARAPACA [47107010];Limnimétrica;Convencional;Activa;15/05/1986 0:00:00;14/08/1872 0:00:00;98;-2.894722222000000;-69.735555559999995;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;60;Vaupes;26;18;287.500000000000000
47100010;TARAPACA [47100010];Pluviométrica;Convencional;Activa;15/05/1986 0:00:00;14/08/1872 0:00:00;100;-2.894722222000000;-69.735694444000004;Amazonas;Tarapacá;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;60;Vaupes;26;18;287.500000000000000
47067020;ESTRECHO-MARANDUA [47067020];Limnimétrica;Convencional;Activa;15/04/1986 0:00:00;14/08/1872 0:00:00;120;-2.443972222000000;-72.672777780000004;Amazonas;Puerto Arica;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;102;Vaupes;26;18;287.500000000000000
47087010;ARICA - R. PUTUMAYO [47087010];Pluviométrica;Convencional;Activa;15/05/1986 0:00:00;14/08/1872 0:00:00;115;-2.146888889000000;-71.752222219999993;Amazonas;Puerto Arica;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Putumayo;Río Putumayo Bajo;Putumayo;95;Vaupes;26;18;287.500000000000000
47047040;SAN AGUSTIN [47047040];Limnimétrica;Convencional;Activa;15/04/1986 0:00:00;14/08/1872 0:00:00;125;-1.610027778000000;-73.485527779999998;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Putumayo Directos (mi);Putumayo;0;Vaupes;26;18;287.500000000000000
47057010;SAN RAFAEL [47057010];Limnimétrica;Convencional;Activa;15/04/1986 0:00:00;14/08/1872 0:00:00;125;-1.688666667000000;-73.239750000000001;Amazonas;El Encanto;Area Operativa 07 - Nariño-Putumayo;Amazonas;Putumayo;Río Cará-Paraná;Cara Parana;121;Vaupes;26;18;287.500000000000000
